Sampling_Date,Year,Month,Season,Operator,CO2_trtmt,Ring,Block,Collar_Unique_ID,SampleTrackerNo,TFUcorr_Final_CH4_flux,TFUcorr_Final_CO2_flux,TFUcorr_Final_N2O_flux,Final_CH4_MDF,Final_CO2_MDF,Final_N2O_MDF
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1,2652,-21.653,73.752,-5.688,10.506,4.154,4.306
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.1,2653,-16.542,53.102,7.282,10.176,4.024,4.171
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.2,2654,-29.811,77.927,-2.489,9.841,3.891,4.034
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.4,2655,-13.522,71.857,1.092,10.474,4.141,4.293
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.5,2656,-27.293,124.668,6.601,10.518,4.159,4.312
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.6,2657,,,,38.328,15.155,15.711
06/05/2013,2013,May,Autumn,Loic,Elevated,1,1,1.7,2658,-28.211,60.449,-4.48,10.382,4.105,4.255
06/05/2013,2013,May,Autumn,Catarina,Ambient,2,1,2,2659,-14.937,45.858,7.89,10.608,4.195,4.348
06/05/2013,2013,May,Autumn,Catarina,Ambient,2,1,2.1,2660,-13.084,94.836,6.867,10.427,4.123,4.274
06/05/2013,2013,May,Autumn,Catarina,Ambient,2,1,2.2,2661,-9.502,49.419,6.076,9.572,3.785,3.924
06/05/2013,2013,May,Autumn,Yui,Ambient,2,1,2.3,2662,-33.568,47.985,-2.165,10.568,4.179,4.332
06/05/2013,2013,May,Autumn,Catarina,Ambient,2,1,2.5,2663,4.797,45.496,,10.714,4.236,4.392
06/05/2013,2013,May,Autumn,Catarina,Ambient,2,1,2.6,2664,-13.108,55.277,6.331,10.643,4.208,4.363
06/05/2013,2013,May,Autumn,Yui,Ambient,2,1,2.7,2665,-27.998,78.071,4.7,10.5,4.152,4.304
06/05/2013,2013,May,Autumn,Loic,Ambient,3,2,3,2666,-35.822,82.23,-1.906,10.121,4.002,4.149
06/05/2013,2013,May,Autumn,Loic,Ambient,3,2,3.1,2667,-19.542,104.27,6.721,9.968,3.941,4.086
06/05/2013,2013,May,Autumn,Loic,Ambient,3,2,3.2,2668,,87.521,-11.351,36.106,4.136,4.288
06/05/2013,2013,May,Autumn,Loic,Ambient,3,2,3.4,2669,-35.871,89.668,1.034,10.404,4.114,4.264
06/05/2013,2013,May,Autumn,Pankaj,Ambient,3,2,3.5,2670,-26.991,83.07,-6.486,10.295,4.07,4.22
06/05/2013,2013,May,Autumn,Pankaj,Ambient,3,2,3.6,2671,-31.134,120.396,3.556,10.223,4.042,4.191
06/05/2013,2013,May,Autumn,Loic,Ambient,3,2,3.7,2672,-16.85,121.973,-5.206,9.939,3.93,4.074
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4,2673,-2.818,143.629,-0.785,10.493,4.149,4.301
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.1,2674,-33.466,176.963,2.031,11.006,4.352,4.511
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.3,2675,-9.397,110.404,-0.031,9.925,3.924,4.068
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.4,2676,-5.254,113.239,4.58,10.575,4.181,4.335
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.5,2677,,143.872,-1.281,36.199,4.147,4.299
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.6,2678,-15.384,165.118,4.18,10.983,4.343,4.502
06/05/2013,2013,May,Autumn,Catarina,Elevated,4,2,4.7,2679,-20.164,101.221,6.75,9.858,3.898,4.041
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5,2680,,82.606,,34,3.895,13.937
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.1,2681,-7.257,102.346,23.693,10.046,3.972,4.118
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.2,2682,-14.374,177.261,16.212,10.257,4.056,4.205
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.3,2683,-11.273,114.337,8.009,10.351,4.093,4.243
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.4,2684,-15.633,123.275,7.035,10.447,4.131,4.282
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.5,2685,-6.296,104.917,4.733,9.914,3.92,4.064
06/05/2013,2013,May,Autumn,Catarina,Elevated,5,3,5.6,2686,-9.212,102.379,6.108,10.4,4.112,4.263
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.1,2687,-66.119,116.826,-11.293,10.479,4.143,4.295
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.2,2688,-28.632,157.889,14.933,10.333,4.086,4.235
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.3,2689,-23.506,131.663,-2.533,10.008,3.957,4.103
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.4,2690,-96.3,113.193,-0.007,36.507,4.182,4.336
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.5,2691,-26.225,73.547,5.622,10.77,4.259,4.415
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.6,2692,-24.448,164.324,14.672,10.209,4.037,4.185
06/05/2013,2013,May,Autumn,Loic,Ambient,6,3,6.7,2693,-19.093,154.799,10.508,10.178,4.025,4.172
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1,3084,-8.456,36.405,-1.26,10.729,4.242,4.398
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.1,3085,-29.434,41.153,-5.909,10.347,4.091,4.241
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.2,3086,-17.178,55.888,0.657,10.012,3.959,4.104
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.4,3087,-22.004,60.363,-0.841,10.627,4.202,4.356
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.5,3088,-24.189,36.49,3.838,10.701,4.231,4.387
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.6,3089,-17.411,60.338,1.909,11.267,4.455,4.619
11/06/2013,2013,Jun,Autumn,Yui,Elevated,1,1,1.7,3090,-30.074,52.488,-3.328,10.541,4.168,4.321
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2,3091,-22.291,43.366,3.943,10.908,4.313,4.471
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.1,3092,-3.557,77.667,5.166,10.78,4.262,4.419
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.2,3093,-6.022,31.978,1.173,9.943,3.932,4.076
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.3,3094,-11.649,36.567,4.786,10.963,4.335,4.494
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.5,3095,-16.071,44.144,3.35,11.047,4.368,4.528
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.6,3096,-16.371,57.104,-1.251,10.98,4.342,4.501
11/06/2013,2013,Jun,Autumn,Yui,Ambient,2,1,2.7,3097,-7.083,68.136,11.314,10.871,4.298,4.456
11/06/2013,2013,Jun,Autumn,Yui,Ambient,3,2,3,3098,-28.786,54.792,-3.742,10.194,4.031,4.178
11/06/2013,2013,Jun,Autumn,Yui,Ambient,3,2,3.1,3099,-23.436,55.851,32.209,10.019,3.962,14.175
11/06/2013,2013,Jun,Autumn,Yui,Ambient,3,2,3.2,3100,-17.917,41.96,-2.334,10.544,4.169,4.322
11/06/2013,2013,Jun,Autumn,Yui,Ambient,3,2,3.4,3101,-29.998,68.351,-5.313,10.443,4.129,4.281
